,Station,Easting,Northing,Elevation,Alignment_Station_int
735,205+944,2612701.5713,1268548.6436,225.437,205944.0
737,205+947,2612703.0614,1268546.0399,225.301,205947.0
739,205+950,2612704.5515,1268543.4361,225.166,205950.0
741,205+953,2612706.0416,1268540.8323,225.031,205953.0
743,205+956,2612707.5317,1268538.2286,224.898,205956.0
745,205+959,2612709.0218,1268535.6248,224.765,205959.0
747,205+962,2612710.5119,1268533.021,224.634,205962.0
749,205+965,2612712.002,1268530.4173,224.503,205965.0
751,205+968,2612713.4921,1268527.8135,224.373,205968.0
753,205+971,2612714.9822,1268525.2097,224.244,205971.0
755,205+974,2612716.4723,1268522.606,224.116,205974.0
757,205+977,2612717.9624,1268520.0022,223.989,205977.0
759,205+980,2612719.4525,1268517.3984,223.863,205980.0
761,205+983,2612720.9426,1268514.7947,223.738,205983.0
763,205+986,2612722.4327,1268512.1909,223.613,205986.0
765,205+989,2612723.9228,1268509.5871,223.49,205989.0
767,205+992,2612725.4129,1268506.9834,223.367,205992.0
769,205+995,2612726.903,1268504.3796,223.245,205995.0
771,205+998,2612728.3931,1268501.7758,223.125,205998.0
773,206+001,2612729.8832,1268499.1721,223.005,206001.0
775,206+004,2612731.3733,1268496.5683,222.886,206004.0
777,206+007,2612732.8634,1268493.9645,222.768,206007.0
779,206+010,2612734.3535,1268491.3608,222.65,206010.0
781,206+013,2612735.8436,1268488.757,222.534,206013.0
783,206+016,2612737.3337,1268486.1532,222.419,206016.0
785,206+019,2612738.8238,1268483.5494,222.304,206019.0
787,206+022,2612740.3139,1268480.9457,222.191,206022.0
789,206+025,2612741.804,1268478.3419,222.078,206025.0
791,206+028,2612743.2941,1268475.7381,221.966,206028.0
793,206+031,2612744.7842,1268473.1344,221.855,206031.0
795,206+034,2612746.2743,1268470.5306,221.745,206034.0
797,206+037,2612747.7644,1268467.9268,221.636,206037.0
799,206+040,2612749.2545,1268465.3231,221.528,206040.0
801,206+043,2612750.7446,1268462.7193,221.421,206043.0
803,206+046,2612752.2347,1268460.1155,221.315,206046.0
805,206+049,2612753.7248,1268457.5118,221.209,206049.0
807,206+052,2612755.2149,1268454.908,221.105,206052.0
809,206+055,2612756.705,1268452.3042,221.001,206055.0
811,206+058,2612758.1951,1268449.7005,220.898,206058.0
813,206+061,2612759.6852,1268447.0967,220.796,206061.0
815,206+064,2612761.1753,1268444.4929,220.695,206064.0
817,206+067,2612762.6654,1268441.8892,220.595,206067.0
819,206+070,2612764.1555,1268439.2854,220.496,206070.0
821,206+073,2612765.6456,1268436.6816,220.398,206073.0
823,206+076,2612767.1357,1268434.0779,220.301,206076.0
825,206+079,2612768.6258,1268431.4741,220.204,206079.0
827,206+082,2612770.1159,1268428.8703,220.109,206082.0
829,206+085,2612771.606,1268426.2666,220.014,206085.0
831,206+088,2612773.0961,1268423.6628,219.92,206088.0
833,206+091,2612774.5862,1268421.059,219.828,206091.0
835,206+094,2612776.0763,1268418.4552,219.736,206094.0
837,206+097,2612777.5663,1268415.8515,219.645,206097.0
839,206+100,2612779.0564,1268413.2477,219.554,206100.0
841,206+103,2612780.5465,1268410.6439,219.465,206103.0
843,206+106,2612782.0366,1268408.0402,219.377,206106.0
845,206+109,2612783.5267,1268405.4364,219.29,206109.0
847,206+112,2612785.0168,1268402.8326,219.203,206112.0
849,206+115,2612786.5069,1268400.2289,219.117,206115.0
851,206+118,2612787.997,1268397.6251,219.033,206118.0
853,206+121,2612789.4871,1268395.0213,218.949,206121.0
855,206+124,2612790.9772,1268392.4176,218.866,206124.0
857,206+127,2612792.4673,1268389.8138,218.784,206127.0
859,206+130,2612793.9574,1268387.21,218.703,206130.0
861,206+133,2612795.4475,1268384.6063,218.623,206133.0
863,206+136,2612796.9376,1268382.0025,218.543,206136.0
865,206+139,2612798.4277,1268379.3987,218.465,206139.0
867,206+142,2612799.9178,1268376.795,218.388,206142.0
869,206+145,2612801.4079,1268374.1912,218.311,206145.0
871,206+148,2612802.898,1268371.5874,218.235,206148.0
873,206+148.763,2612803.277,1268370.9252,218.216,206148.763
875,206+151,2612804.3881,1268368.9837,218.16,206151.0
877,206+154,2612805.8782,1268366.3799,218.085,206154.0
879,206+157,2612807.3683,1268363.7761,218.01,206157.0
881,206+160,2612808.8584,1268361.1724,217.935,206160.0
883,206+163,2612810.3485,1268358.5686,217.86,206163.0
885,206+166,2612811.8386,1268355.9648,217.785,206166.0
887,206+169,2612813.3287,1268353.3611,217.71,206169.0
889,206+172,2612814.8188,1268350.7573,217.635,206172.0
891,206+175,2612816.3089,1268348.1535,217.56,206175.0
893,206+178,2612817.799,1268345.5497,217.485,206178.0
895,206+181,2612819.2891,1268342.946,217.41,206181.0
897,206+184,2612820.7792,1268340.3422,217.335,206184.0
899,206+187,2612822.2693,1268337.7384,217.26,206187.0
901,206+190,2612823.7594,1268335.1347,217.185,206190.0
903,206+193,2612825.2495,1268332.5309,217.11,206193.0
905,206+196,2612826.7396,1268329.9271,217.035,206196.0
907,206+199,2612828.2297,1268327.3234,216.96,206199.0
909,206+202,2612829.7198,1268324.7196,216.885,206202.0
911,206+205,2612831.2099,1268322.1158,216.81,206205.0
913,206+208,2612832.7,1268319.5121,216.735,206208.0
915,206+211,2612834.1901,1268316.9083,216.66,206211.0
917,206+214,2612835.6802,1268314.3045,216.585,206214.0
919,206+217,2612837.1703,1268311.7008,216.51,206217.0
921,206+220,2612838.6604,1268309.097,216.435,206220.0
923,206+223,2612840.1505,1268306.4932,216.36,206223.0
925,206+226,2612841.6406,1268303.8895,216.285,206226.0
927,206+229,2612843.1307,1268301.2857,216.21,206229.0
929,206+232,2612844.6208,1268298.6819,216.135,206232.0
931,206+235,2612846.1109,1268296.0782,216.06,206235.0
933,206+238,2612847.601,1268293.4744,215.985,206238.0
935,206+241,2612849.0911,1268290.8706,215.91,206241.0
937,206+244,2612850.5812,1268288.2669,215.835,206244.0
939,206+247,2612852.0713,1268285.6631,215.76,206247.0
941,206+250,2612853.5614,1268283.0593,215.685,206250.0
943,206+253,2612855.0515,1268280.4556,215.61,206253.0
945,206+256,2612856.5416,1268277.8518,215.535,206256.0
947,206+259,2612858.0317,1268275.248,215.46,206259.0
949,206+262,2612859.5218,1268272.6442,215.385,206262.0
951,206+265,2612861.0118,1268270.0405,215.31,206265.0
953,206+268,2612862.5019,1268267.4367,215.235,206268.0
955,206+271,2612863.992,1268264.8329,215.16,206271.0
957,206+274,2612865.4821,1268262.2292,215.085,206274.0
959,206+277,2612866.9722,1268259.6254,215.01,206277.0
