"Point","Type","Station","Northing","Easting","Elevation"
"104+979","","104+979","1268860.5444","2611824.6982","217.714"
"","","","","",""
"104+982","","104+982","1268860.5282","2611827.6981","217.648"
"","","","","",""
"104+985","","104+985","1268860.5120","2611830.6981","217.583"
"","","","","",""
"104+988","","104+988","1268860.4959","2611833.6980","217.520"
"","","","","",""
"104+991","","104+991","1268860.4797","2611836.6980","217.458"
"","","","","",""
"104+994","","104+994","1268860.4636","2611839.6980","217.398"
"","","","","",""
"104+997","","104+997","1268860.4474","2611842.6979","217.339"
"","","","","",""
"105+000","","105+000","1268860.4313","2611845.6979","217.282"
"","","","","",""
"105+003","","105+003","1268860.4151","2611848.6978","217.226"
"","","","","",""
"105+006","","105+006","1268860.3990","2611851.6978","217.172"
"","","","","",""
"105+009","","105+009","1268860.3828","2611854.6977","217.119"
"","","","","",""
"105+012","","105+012","1268860.3667","2611857.6977","217.068"
"","","","","",""
"105+015","","105+015","1268860.3505","2611860.6977","217.018"
"","","","","",""
"105+018","","105+018","1268860.3343","2611863.6976","216.970"
"","","","","",""
"105+021","","105+021","1268860.3182","2611866.6976","216.923"
"","","","","",""
"105+024","","105+024","1268860.3020","2611869.6975","216.878"
"","","","","",""
"105+027","","105+027","1268860.2859","2611872.6975","216.834"
"","","","","",""
"105+030","","105+030","1268860.2697","2611875.6974","216.792"
"","","","","",""
"105+033","","105+033","1268860.2536","2611878.6974","216.752"
"","","","","",""
"105+036","","105+036","1268860.2374","2611881.6973","216.712"
"","","","","",""
"105+039","","105+039","1268860.2213","2611884.6973","216.675"
"","","","","",""
"105+042","","105+042","1268860.2051","2611887.6973","216.638"
"","","","","",""
"105+045","","105+045","1268860.1890","2611890.6972","216.604"
"","","","","",""
"105+048","","105+048","1268860.1728","2611893.6972","216.571"
"","","","","",""
"105+051","","105+051","1268860.1566","2611896.6971","216.539"
"","","","","",""
"105+054","","105+054","1268860.1405","2611899.6971","216.509"
"","","","","",""
"105+057","","105+057","1268860.1243","2611902.6970","216.480"
"","","","","",""
"105+060","","105+060","1268860.1082","2611905.6970","216.453"
"","","","","",""
"105+063","","105+063","1268860.0920","2611908.6970","216.427"
"","","","","",""
"105+066","","105+066","1268860.0759","2611911.6969","216.403"
"","","","","",""
"105+069","","105+069","1268860.0597","2611914.6969","216.380"
"","","","","",""
"105+072","","105+072","1268860.0436","2611917.6968","216.359"
"","","","","",""
"105+075","","105+075","1268860.0274","2611920.6968","216.340"
"","","","","",""
"105+078","","105+078","1268860.0112","2611923.6967","216.321"
"","","","","",""
"105+081","","105+081","1268859.9951","2611926.6967","216.305"
"","","","","",""
"EC2:4","EC","105+082.822","1268859.9853","2611928.5187","216.295"
"","","","","",""
"105+084","","105+084","1268859.9789","2611929.6967","216.289"
"","","","","",""
"105+087","","105+087","1268859.9628","2611932.6966","216.274"
"","","","","",""
"105+090","","105+090","1268859.9466","2611935.6966","216.259"
"","","","","",""
"105+093","","105+093","1268859.9305","2611938.6965","216.244"
"","","","","",""
"105+096","","105+096","1268859.9143","2611941.6965","216.229"
"","","","","",""
"105+099","","105+099","1268859.8982","2611944.6964","216.214"
"","","","","",""
"105+102","","105+102","1268859.8820","2611947.6964","216.199"
"","","","","",""
"105+105","","105+105","1268859.8659","2611950.6963","216.184"
"","","","","",""
"105+108","","105+108","1268859.8497","2611953.6963","216.169"
"","","","","",""
"105+111","","105+111","1268859.8335","2611956.6963","216.154"
"","","","","",""
"105+114","","105+114","1268859.8174","2611959.6962","216.139"
"","","","","",""
"105+117","","105+117","1268859.8012","2611962.6962","216.124"
"","","","","",""
"105+120","","105+120","1268859.7851","2611965.6961","216.109"
"","","","","",""
