,Easting,Northing,Elevation,DTM,Rocksurface,delta_rocksurface_tunnelaxis,BoreClass
289,2612586.8338,1268749.1338,236.892,262.7714,237.73876698,0.846766980146,BC2
290,2612588.3239,1268746.53,236.742,262.7714,237.73876698,0.996766980146,BC2
291,2612591.3041,1268741.3225,236.442,262.795,237.86938349,1.42738349007,BC2
292,2612592.7942,1268738.7187,236.292,262.7809,237.86938349,1.57738349007,BC2
293,2612594.2843,1268736.1149,236.142,262.7809,237.876084263,1.7340842627,BC2
294,2612595.7744,1268733.5112,235.992,262.8103,237.876084263,1.8840842627,BC2
295,2612597.2645,1268730.9074,235.842,262.8103,237.876084263,2.0340842627,BC2
296,2612598.7546,1268728.3036,235.692,262.804,237.876084263,2.1840842627,BC2
297,2612600.2447,1268725.6999,235.542,262.8578,237.876084263,2.3340842627,BC2
298,2612601.7348,1268723.0961,235.392,262.8045,237.876084263,2.4840842627,BC2
299,2612603.2249,1268720.4923,235.242,262.8045,237.876084263,2.6340842627,BC2
300,2612604.715,1268717.8886,235.091,262.7668,237.876084263,2.7850842627,BC2
301,2612606.2051,1268715.2848,234.941,263.018,237.889746417,2.94874641676,BC2
302,2612609.1852,1268710.0773,234.641,262.7613,237.889746417,3.24874641676,BC2
303,2612610.6753,1268707.4735,234.491,262.8018,237.889746417,3.39874641676,BC2
304,2612612.1654,1268704.8697,234.341,262.7202,238.0,3.659,BC2
305,2612615.1456,1268699.6622,234.041,262.8064,238.0,3.959,BC2
306,2612616.6357,1268697.0584,233.891,262.8064,238.0,4.109,BC2
307,2612618.1258,1268694.4546,233.741,262.6923,238.0,4.259,BC2
308,2612619.6159,1268691.8509,233.591,262.6923,238.0,4.409,BC2
309,2612621.106,1268689.2471,233.441,262.7547,238.0,4.559,BC2
310,2612622.5961,1268686.6433,233.29,262.7547,238.0,4.71,BC2
311,2612624.0862,1268684.0396,233.14,262.7132,238.0,4.86,BC2
312,2612625.5763,1268681.4358,232.99,262.68,238.0,5.01,BC2
313,2612627.0664,1268678.832,232.84,262.7687,238.0,5.16,BC2
314,2612628.5565,1268676.2283,232.69,262.7687,238.0,5.31,BC2
315,2612630.0466,1268673.6245,232.54,262.8799,238.0,5.46,BC2
316,2612631.5367,1268671.0207,232.39,262.8799,238.0,5.61,BC2
317,2612634.5169,1268665.8132,232.09,262.791,238.134879957,6.04487995684,BC2
318,2612637.4971,1268660.6057,231.79,262.8113,238.134879957,6.34487995684,BC2
319,2612638.9872,1268658.0019,231.64,262.3998,238.134879957,6.49487995684,BC2
320,2612640.4773,1268655.3981,231.489,262.9533,238.134879957,6.64587995684,BC2
321,2612641.9674,1268652.7944,231.339,262.8039,238.142857143,6.80385714286,BC2
322,2612643.4575,1268650.1906,231.189,262.8039,238.142857143,6.95385714286,BC2
323,2612644.9476,1268647.5868,231.039,262.5259,238.142857143,7.10385714286,BC2
324,2612646.4377,1268644.9831,230.889,262.5532,238.142857143,7.25385714286,BC2
325,2612647.9278,1268642.3793,230.739,262.5532,238.142857143,7.40385714286,BC2
326,2612649.4179,1268639.7755,230.589,262.3399,238.142857143,7.55385714286,BC2
327,2612652.3981,1268634.568,230.289,262.8513,238.142857143,7.85385714286,BC2
328,2612653.8882,1268631.9642,230.139,262.8513,238.325600216,8.18660021581,BC3
329,2612655.3783,1268629.3604,229.989,262.9792,238.325600216,8.33660021581,BC3
330,2612656.8684,1268626.7567,229.839,262.9792,238.325600216,8.48660021581,BC3
331,2612658.3585,1268624.1529,229.688,262.8658,238.325600216,8.63760021581,BC3
332,2612659.8486,1268621.5491,229.538,262.8658,238.325600216,8.78760021581,BC3
333,2612661.3387,1268618.9454,229.388,262.9876,238.325600216,8.93760021581,BC3
334,2612662.8288,1268616.3416,229.238,262.9876,238.325600216,9.08760021581,BC3
335,2612664.3189,1268613.7378,229.088,262.899,238.325600216,9.23760021581,BC3
336,2612665.809,1268611.1341,228.938,263.1153,238.390499862,9.45249986192,BC3
337,2612667.2991,1268608.5303,228.788,263.0352,238.390499862,9.60249986192,BC3
338,2612668.7892,1268605.9265,228.638,263.0352,238.390499862,9.75249986192,BC3
339,2612670.2793,1268603.3228,228.488,263.091,238.390499862,9.90249986192,BC3
340,2612671.7694,1268600.719,228.338,263.091,238.390499862,10.0524998619,BC3
341,2612673.2595,1268598.1152,228.188,263.0636,238.390499862,10.2024998619,BC3
