,Station,Easting,Northing,Elevation,easting,northing,DTM
464,206+226,2612841.6406,1268303.8895,216.285,2612841.6406,1268303.8895,262.9517
465,206+229,2612843.1307,1268301.2857,216.21,2612843.1307,1268301.2857,262.9517
466,206+232,2612844.6208,1268298.6819,216.135,2612844.6208,1268298.6819,262.8559
467,206+235,2612846.1109,1268296.0782,216.06,2612846.1109,1268296.0782,262.9911
468,206+238,2612847.601,1268293.4744,215.985,2612847.601,1268293.4744,262.8534
469,206+241,2612849.0911,1268290.8706,215.91,2612849.0911,1268290.8706,262.8534
470,206+244,2612850.5812,1268288.2669,215.835,2612850.5812,1268288.2669,262.929
471,206+247,2612852.0713,1268285.6631,215.76,2612852.0713,1268285.6631,262.929
472,206+250,2612853.5614,1268283.0593,215.685,2612853.5614,1268283.0593,262.7926
473,206+253,2612855.0515,1268280.4556,215.61,2612855.0515,1268280.4556,262.927
474,206+256,2612856.5416,1268277.8518,215.535,2612856.5416,1268277.8518,262.7719
475,206+259,2612858.0317,1268275.248,215.46,2612858.0317,1268275.248,262.7719
476,206+262,2612859.5218,1268272.6442,215.385,2612859.5218,1268272.6442,262.8404
477,206+265,2612861.0118,1268270.0405,215.31,2612861.0118,1268270.0405,262.8843
478,206+268,2612862.5019,1268267.4367,215.235,2612862.5019,1268267.4367,262.6891
479,206+271,2612863.992,1268264.8329,215.16,2612863.992,1268264.8329,262.8012
480,206+274,2612865.4821,1268262.2292,215.085,2612865.4821,1268262.2292,262.7913
481,206+277,2612866.9722,1268259.6254,215.01,2612866.9722,1268259.6254,262.6972
482,206+280,2612868.4623,1268257.0216,214.935,2612868.4623,1268257.0216,262.6972
483,206+283,2612869.9524,1268254.4179,214.86,2612869.9524,1268254.4179,262.7577
484,206+286,2612871.4425,1268251.8141,214.785,2612871.4425,1268251.8141,262.8163
485,206+289,2612872.9326,1268249.2103,214.71,2612872.9326,1268249.2103,262.7784
486,206+292,2612874.4227,1268246.6066,214.635,2612874.4227,1268246.6066,262.7784
487,206+295,2612875.9128,1268244.0028,214.56,2612875.9128,1268244.0028,262.7959
488,206+298,2612877.4029,1268241.399,214.485,2612877.4029,1268241.399,262.7959
489,206+301,2612878.893,1268238.7953,214.41,2612878.893,1268238.7953,262.8328
490,206+304,2612880.3831,1268236.1915,214.335,2612880.3831,1268236.1915,262.8037
491,206+306.711,2612881.7295,1268233.8388,214.268,2612881.7295,1268233.8388,262.7869
492,206+307,2612881.8732,1268233.5877,214.26,2612881.8732,1268233.5877,262.7869
493,206+310,2612883.3634,1268230.984,214.185,,,
494,206+313,2612884.8537,1268228.3804,214.11,2612884.8537,1268228.3804,262.7005
495,206+316,2612886.3445,1268225.777,214.035,2612886.3445,1268225.777,262.7309
496,206+319,2612887.8358,1268223.1739,213.96,2612887.8358,1268223.1739,262.7851
497,206+322,2612889.3279,1268220.5713,213.885,2612889.3279,1268220.5713,262.7851
498,206+325,2612890.821,1268217.9693,213.81,2612890.821,1268217.9693,262.7747
499,206+328,2612892.3153,1268215.3679,213.735,2612892.3153,1268215.3679,262.7747
500,206+331,2612893.8109,1268212.7673,213.66,2612893.8109,1268212.7673,262.7161
501,206+334,2612895.3081,1268210.1676,213.585,2612895.3081,1268210.1676,262.8109
502,206+337,2612896.807,1268207.5689,213.51,2612896.807,1268207.5689,262.7325
503,206+340,2612898.3078,1268204.9713,213.435,2612898.3078,1268204.9713,262.7585
504,206+343,2612899.8108,1268202.3749,213.36,2612899.8108,1268202.3749,262.7585
505,206+346,2612901.316,1268199.7799,213.285,2612901.316,1268199.7799,262.808
506,206+349,2612902.8238,1268197.1863,213.21,2612902.8238,1268197.1863,262.808
507,206+352,2612904.3342,1268194.5943,213.135,2612904.3342,1268194.5943,262.7896
508,206+355,2612905.8475,1268192.0039,213.06,2612905.8475,1268192.0039,262.8183
509,206+358,2612907.3639,1268189.4154,212.985,2612907.3639,1268189.4154,262.7533
510,206+361,2612908.8836,1268186.8287,212.91,2612908.8836,1268186.8287,262.7533
511,206+364,2612910.4066,1268184.2441,212.835,2612910.4066,1268184.2441,262.7672
512,206+367,2612911.9333,1268181.6616,212.76,2612911.9333,1268181.6616,262.7672
513,206+370,2612913.4638,1268179.0814,212.685,2612913.4638,1268179.0814,262.8075
514,206+373,2612914.9983,1268176.5035,212.61,2612914.9983,1268176.5035,262.8075
515,206+376,2612916.537,1268173.9282,212.535,2612916.537,1268173.9282,262.8412
516,206+379,2612918.08,1268171.3554,212.46,2612918.08,1268171.3554,262.8412
517,206+382,2612919.6276,1268168.7854,212.385,2612919.6276,1268168.7854,262.8161
518,206+385,2612921.18,1268166.2183,212.31,2612921.18,1268166.2183,262.9201
519,206+388,2612922.7372,1268163.6541,212.235,2612922.7372,1268163.6541,262.841
520,206+391,2612924.2996,1268161.0931,212.16,2612924.2996,1268161.0931,262.841
521,206+393.67,2612925.6945,1268158.8164,212.094,2612925.6945,1268158.8164,262.8883
522,206+394,2612925.8672,1268158.5352,212.085,2612925.8672,1268158.5352,262.8883
523,206+397,2612927.4403,1268155.9807,212.011,2612927.4403,1268155.9807,262.8883
524,206+400,2612929.0191,1268153.4298,211.937,2612929.0191,1268153.4298,262.8079
525,206+403,2612930.6036,1268150.8824,211.864,2612930.6036,1268150.8824,262.7924
526,206+406,2612932.1942,1268148.3387,211.791,2612932.1942,1268148.3387,262.7393
527,206+409,2612933.791,1268145.799,211.72,,,
528,206+412,2612935.3941,1268143.2632,211.649,2612935.3941,1268143.2632,262.7514
529,206+415,2612937.0037,1268140.7316,211.579,2612937.0037,1268140.7316,262.7514
530,206+418,2612938.6201,1268138.2043,211.509,2612938.6201,1268138.2043,262.7794
531,206+421,2612940.2433,1268135.6814,211.44,2612940.2433,1268135.6814,262.7348
532,206+424,2612941.8736,1268133.163,211.372,2612941.8736,1268133.163,262.7713
533,206+427,2612943.5111,1268130.6494,211.305,2612943.5111,1268130.6494,262.7713
534,206+430,2612945.156,1268128.1405,211.238,2612945.156,1268128.1405,262.7579
535,206+433,2612946.8085,1268125.6367,211.172,2612946.8085,1268125.6367,262.7579
536,206+436,2612948.4687,1268123.1379,211.107,2612948.4687,1268123.1379,262.8011
537,206+439,2612950.1368,1268120.6445,211.043,2612950.1368,1268120.6445,262.8201
538,206+442,2612951.813,1268118.1564,210.979,2612951.813,1268118.1564,262.8037
539,206+445,2612953.4975,1268115.6739,210.916,2612953.4975,1268115.6739,262.8037
540,206+448,2612955.1903,1268113.1972,210.853,2612955.1903,1268113.1972,262.7997
