,Station,Easting,Northing,Elevation,DTM,RockSurface,StationReal,RockCover,WBScode,WorkType,ExcavationType,ProfileType,SectionArea,Description,Unit,BoreClass,SupportClass,DisposalClass,StationInterval,ExcavationVolume,DisposalVolume
120,104+415,2611261.603,1268874.332,249.34,250.454,238.106,104415.0,-11.234000000000009,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0039422432166702,NaN,NaN
121,104+418,2611264.578,1268873.944,249.19,250.454,238.106,104418.0,-11.084000000000003,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0039923431377518,NaN,NaN
122,104+421,2611267.553,1268873.556,249.039,250.474,238.106,104421.0,-10.932999999999993,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0040935405845133,NaN,NaN
123,104+424,2611270.528,1268873.168,248.886,250.532,238.106,104424.0,-10.780000000000001,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0032057870892666,NaN,NaN
124,104+427,2611273.502,1268872.78,248.731,250.532,238.106,104427.0,-10.625,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.004299918547014,NaN,NaN
125,104+430,2611276.477,1268872.392,248.574,251.719,238.106,104430.0,-10.468000000000018,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0043523429487435,NaN,NaN
126,104+433,2611279.452,1268872.004,248.416,251.719,238.106,104433.0,-10.310000000000002,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0045116076629825,NaN,NaN
127,104+436,2611282.427,1268871.616,248.255,253.482,238.119,104436.0,-10.135999999999996,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0045653592176884,NaN,NaN
128,104+439,2611285.402,1268871.228,248.093,251.884,238.119,104439.0,-9.97399999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0036837387107735,NaN,NaN
129,104+442,2611288.376,1268870.84,247.929,251.884,238.119,104442.0,-9.810000000000002,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.004783685693683,NaN,NaN
130,104+445,2611291.351,1268870.452,247.763,251.964,238.119,104445.0,-9.644000000000005,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0048390972865087,NaN,NaN
131,104+448,2611294.326,1268870.064,247.596,251.964,238.119,104448.0,-9.477000000000004,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0049509148373126,NaN,NaN
132,104+451,2611297.301,1268869.676,247.427,251.828,238.119,104451.0,-9.307999999999993,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0051211291030517,NaN,NaN
133,104+454,2611300.276,1268869.288,247.255,251.955,238.119,104454.0,-9.135999999999996,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0041885759063898,NaN,NaN
134,104+457,2611303.25,1268868.9,247.082,251.955,238.181,104457.0,-8.900999999999982,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.2698059387937732,NaN,NaN
135,104+459.266,2611305.497,1268868.607,246.951,251.942,238.181,104459.266,-8.769999999999982,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,0.7354304862923896,NaN,NaN
136,104+460,2611306.225,1268868.512,246.908,251.942,238.181,104460.0,-8.726999999999975,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.005411452793377,NaN,NaN
137,104+463,2611309.2,1268868.124,246.731,251.942,238.181,104463.0,-8.549999999999983,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0053415775688768,NaN,NaN
